Source,Target
83,57
65,67
92,81
3,40
16,11
86,56
1,90
75,85
95,19
91,11
16,88
15,21
45,67
18,23
19,11
11,61
85,13
24,10
5,25
66,69
28,75
96,86
68,58
70,22
31,12
1,24
74,34
91,20
19,68
28,61
76,94
43,87
27,58
54,21
100,5
42,17
61,33
20,57
90,98
83,22
90,70
15,5
10,93
54,60
15,72
86,78
93,79
27,53
55,33
37,96
84,19
47,69
9,51
10,32
79,88
82,1
49,67
67,98
50,58
49,85
79,93
13,26
28,77
46,34
71,72
61,80
69,56
81,84
100,63
71,53
48,14
96,24
95,41
71,80
3,100
3,50
11,64
34,84
52,82
54,2
3,70
72,10
81,42
56,12
89,60
80,34
4,72
93,47
31,9
47,84
29,67
4,46
39,56
64,30
90,35
21,2
61,34
2,73
79,15
29,27
13,80
39,90
20,19
73,47
54,93
24,98
6,32
44,31
2,24
68,12
56,29
4,10
58,72
76,63
43,81
29,94
73,51
99,27
86,61
91,8
11,50
22,39
85,14
68,7
65,96
36,25
78,30
6,45
47,37
83,78
86,71
24,52
74,76
23,69
54,12
14,64
19,40
78,8
42,66
66,99
10,26
52,3
26,56
78,36
72,23
52,95
61,60
24,35
97,89
85,71
