Source,Target
1,2
2,3
3,1
4,2
4,3
5,4
5,3
6,5
6,3
7,6
7,5
8,7
8,6
9,8
9,6
10,7
10,6
11,5
11,4
12,9
12,6
13,7
13,5
14,9
14,8
15,7
15,6
16,14
16,9
17,14
17,8
18,13
18,7
19,3
19,1
20,2
20,3
21,13
21,5
22,14
22,9
23,6
23,3
24,16
24,9
25,11
25,5
26,24
26,16
27,23
27,3
28,25
28,5
29,4
29,3
30,28
30,5
31,29
31,3
32,12
32,9
33,5
33,3
34,19
34,1
35,13
35,5
36,10
36,6
37,28
37,5
38,8
38,6
39,19
39,1
40,31
40,3
41,35
41,5
42,12
42,9
43,40
43,31
44,5
44,3
45,11
45,4
46,9
46,8
47,25
47,11
48,20
48,3
49,20
49,3
50,42
50,12
51,12
51,9
52,16
52,9
53,31
53,29
54,40
54,31
55,2
55,3
56,46
56,9
57,53
57,29
58,52
58,9
59,36
59,10
60,17
60,8
61,59
61,36
62,59
62,36
63,18
63,13
64,47
64,25
65,38
65,8
66,5
66,4
67,44
67,5
68,64
68,47
69,14
69,8
70,63
70,18
71,68
71,64
72,6
72,3
73,32
73,12
74,56
74,46
75,45
75,4
76,27
76,3
77,58
77,52
78,6
78,3
79,26
79,24
80,39
80,1
81,21
81,5
82,57
82,29
83,82
83,29
84,59
84,10
85,16
85,9
86,40
86,31
87,66
87,5
88,53
88,29
89,73
89,12
90,63
90,18
91,6
91,5
92,14
92,8
93,24
93,9
94,25
94,5
95,36
95,6
96,32
96,9
97,75
97,45
98,31
98,3
99,15
99,6
100,86
100,31
101,48
101,20
102,88
102,29
103,61
103,59
104,40
104,31
105,21
105,13
106,21
106,13
107,63
107,13
108,41
108,5
109,91
109,5
110,60
110,8
111,18
111,13
112,108
112,5
113,107
113,63
114,65
114,8
115,103
115,61
116,94
116,5
117,83
117,29
118,57
118,53
119,39
119,1
120,25
120,11
121,60
121,8
122,100
122,86
123,61
123,36
124,123
124,61
125,40
125,31
126,7
126,5
127,121
127,60
128,14
128,9
129,22
129,9
130,47
130,25
131,21
131,5
132,74
132,56
133,125
133,31
134,81
134,5
135,130
135,25
136,124
136,61
137,101
137,20
138,60
138,8
139,62
139,36
140,63
140,13
141,99
141,15
142,67
142,44
143,71
143,64
144,116
144,5
145,33
145,3
146,97
146,75
147,145
147,33
148,101
148,20
149,100
149,31
150,80
150,1
151,55
151,3
152,60
152,8
153,46
153,9
154,151
154,55
155,10
155,6
156,29
156,4
157,75
157,45
158,25
158,5
159,48
159,3
160,159
160,3
161,98
161,3
162,159
162,3
163,139
163,62
164,153
164,9
165,36
165,6
166,89
166,73
167,16
167,14
168,65
168,38
169,34
169,1
170,33
170,3
171,127
171,60
172,32
172,12
173,157
173,75
174,170
174,33
175,123
175,36
176,53
176,29
177,90
177,63
178,32
178,12
179,97
179,45
180,163
180,139
181,130
181,47
182,177
182,63
183,107
183,63
184,165
184,6
185,130
185,25
186,122
186,86
187,48
187,20
188,163
188,62
189,172
189,12
190,26
190,16
191,6
191,3
192,93
192,24
193,86
193,40
194,52
194,16
195,129
195,9
196,26
196,16
197,12
197,9
198,40
198,31
199,188
199,163
200,181
200,47
201,191
201,6
202,5
202,3
203,202
203,3
204,120
204,11
205,47
205,11
206,7
206,5
207,37
207,28
208,100
208,31
209,99
209,6
210,183
210,63
211,42
211,9
212,115
212,61
213,130
213,47
214,131
214,21
215,6
215,3
216,42
216,12
217,215
217,6
218,111
218,18
219,86
219,31
220,208
220,31
221,15
221,7
222,196
222,26
223,124
223,61
224,27
224,3
225,113
225,107
226,108
226,5
227,218
227,111
228,141
228,15
229,14
229,8
230,36
230,6
231,98
231,3
232,83
232,82
233,23
233,3
234,223
234,124
235,47
235,25
236,18
236,13
237,175
237,36
238,204
238,11
239,84
239,10
240,101
240,20
241,126
241,5
242,189
242,12
243,234
243,124
244,233
244,3
245,6
245,5
246,138
246,60
247,186
247,86
248,157
248,45
249,126
249,7
250,110
250,60
251,189
251,172
252,182
252,177
253,212
253,115
254,134
254,5
255,41
255,35
256,4
256,3
257,169
257,34
258,237
258,175
259,22
259,14
260,19
260,1
261,139
261,62
262,79
262,26
263,72
263,3
264,177
264,90
265,103
265,59
266,97
266,75
267,212
267,115
268,235
268,47
269,115
269,61
270,261
270,62
271,221
271,15
272,198
272,40
273,249
273,126
274,235
274,25
275,51
275,12
276,106
276,21
277,210
277,63
278,143
278,71
279,121
279,8
280,239
280,10
281,217
281,215
282,180
282,163
283,75
283,4
284,221
284,7
285,27
285,23
286,94
286,25
287,161
287,3
288,101
288,48
289,235
289,47
290,282
290,180
291,206
291,7
292,225
292,107
293,210
293,63
294,214
294,131
295,280
295,10
296,202
296,3
297,28
297,5
298,218
298,18
299,294
299,214
300,182
300,63
301,141
301,15
302,219
302,86
303,80
303,39
304,37
304,5
305,286
305,94
306,246
306,138
307,21
307,5
308,32
308,9
309,216
309,42
310,308
310,32
311,69
311,14
312,117
312,83
313,13
313,7
314,161
314,98
315,180
315,139
316,243
316,124
317,119
317,39
318,100
318,31
319,283
319,4
320,151
320,3
321,115
321,103
322,16
322,9
323,216
323,12
324,153
324,9
325,59
325,36
326,213
326,130
327,98
327,31
328,60
328,17
329,113
329,63
330,92
330,8
331,59
331,10
332,102
332,29
333,181
333,47
334,91
334,6
335,120
335,11
336,110
336,60
337,213
337,130
338,330
338,92
339,4
339,2
340,43
340,40
341,130
341,25
342,76
342,3
343,338
343,92
344,281
344,217
345,268
345,47
346,296
346,3
347,114
347,65
348,15
348,6
349,276
349,106
350,179
350,97
351,124
351,61
352,280
352,239
353,235
353,47
354,95
354,6
355,273
355,126
356,188
356,163
357,250
357,60
358,147
358,145
359,194
359,52
360,206
360,7
361,168
361,65
362,312
362,83
363,345
363,268
364,334
364,91
365,335
365,11
366,355
366,126
367,36
367,10
368,119
368,39
369,318
369,31
370,64
370,47
371,194
371,52
372,340
372,43
373,219
373,86
374,166
374,89
375,192
375,24
376,278
376,143
377,348
377,15
378,39
378,1
379,357
379,60
380,125
380,40
381,362
381,83
382,306
382,246
383,112
383,108
384,381
384,362
385,163
385,139
386,319
386,283
387,142
387,44
388,13
388,5
389,367
389,10
390,10
390,7
391,386
391,319
392,204
392,11
393,119
393,1
394,251
394,172
395,64
395,47
396,366
396,355
397,211
397,9
398,212
398,61
399,61
399,36
400,12
400,6
401,340
401,40
402,17
402,8
403,36
403,10
404,231
404,3
405,61
405,36
406,224
406,27
407,61
407,59
408,386
408,319
409,285
409,23
410,93
410,24
411,46
411,8
412,191
412,3
413,65
413,8
414,230
414,36
415,7
415,6
416,396
416,355
417,218
417,18
418,182
418,177
419,347
419,114
420,110
420,60
421,163
421,62
422,387
422,142
423,208
423,31
424,103
424,61
425,120
425,25
426,221
426,15
427,352
427,280
428,151
428,3
429,212
429,61
430,388
430,13
431,337
431,130
432,319
432,283
433,61
433,59
434,387
434,142
435,304
435,37
436,35
436,5
437,68
437,47
438,262
438,79
439,330
439,92
440,361
440,168
441,210
441,63
442,413
442,65
443,219
443,31
444,268
444,47
445,91
445,6
446,196
446,16
447,264
447,90
448,231
448,98
449,331
449,10
450,57
450,29
451,353
451,235
452,216
452,42
453,318
453,100
454,409
454,285
455,133
455,31
456,384
456,381
457,302
457,86
458,125
458,40
459,157
459,75
460,100
460,31
461,54
461,31
462,424
462,61
463,382
463,306
464,47
464,25
465,151
465,55
466,423
466,31
467,199
467,188
468,232
468,82
469,125
469,31
470,231
470,98
471,223
471,61
472,453
472,318
473,386
473,319
474,263
474,3
475,29
475,3
