Source,Target
435,53
142,303
102,196
441,3
274,397
386,162
144,83
203,201
145,329
262,60
29,253
195,229
264,59
415,309
55,80
12,48
323,154
103,84
214,490
236,146
182,161
181,415
2,419
311,131
236,147
443,61
302,61
252,49
193,58
211,438
257,44
138,171
398,126
166,253
468,329
483,182
45,439
74,285
482,240
150,445
266,338
436,8
433,178
86,453
477,260
339,346
416,349
57,466
172,178
132,254
243,162
366,208
184,458
369,423
67,398
276,228
231,237
226,281
190,24
35,362
283,425
363,495
76,165
418,19
173,409
100,12
276,471
180,183
105,355
239,27
211,378
301,434
307,213
312,461
120,285
222,359
360,54
411,476
145,186
448,173
153,269
130,214
340,492
432,443
263,63
399,151
360,138
453,124
314,493
165,168
417,149
179,29
313,101
491,304
214,63
64,443
312,137
250,418
82,407
448,65
142,401
400,308
149,395
201,187
444,161
467,41
280,497
144,481
488,99
459,233
367,15
467,334
5,110
261,357
13,471
312,112
377,243
166,282
146,243
88,116
457,274
330,76
223,74
222,495
150,449
81,231
6,98
43,249
467,439
137,52
324,457
78,14
118,98
195,136
393,159
448,23
122,147
275,427
414,73
270,40
199,414
17,381
90,131
393,16
428,133
454,74
401,390
366,135
418,105
493,12
146,333
206,166
298,272
366,2
58,152
433,89
350,110
327,248
297,381
463,102
166,353
99,36
139,304
278,84
210,175
222,369
360,86
494,85
252,336
500,484
164,223
25,357
234,342
367,460
178,500
269,256
292,233
254,437
142,87
125,114
206,121
263,407
97,148
179,220
212,250
483,167
54,250
35,239
386,262
354,447
169,242
252,463
25,291
80,400
114,459
418,217
321,50
250,177
168,149
477,386
398,441
230,250
247,318
419,428
359,433
307,25
299,175
12,178
331,141
76,14
98,320
106,143
370,486
118,3
319,345
63,256
97,482
460,158
270,136
253,228
169,100
293,393
78,361
276,333
158,7
53,443
373,73
4,102
35,189
70,447
310,409
3,305
10,425
49,179
276,349
183,337
267,208
463,241
224,125
128,103
329,340
40,361
69,296
375,116
103,473
403,57
86,421
285,77
36,210
102,208
203,385
174,114
199,259
344,92
313,321
270,127
323,479
143,104
409,156
297,127
42,102
340,436
137,277
233,110
369,346
51,439
132,15
298,458
176,309
147,337
403,12
413,446
286,8
453,359
52,39
293,248
66,337
489,432
288,43
435,363
295,287
111,432
479,228
79,240
479,72
83,4
139,240
34,331
254,47
115,38
301,3
152,171
99,322
498,205
427,397
228,321
357,434
483,160
409,72
101,347
247,93
449,396
83,434
106,491
319,254
432,444
406,120
458,87
244,30
323,106
58,488
233,115
223,429
135,140
296,202
335,466
17,53
445,496
29,373
307,151
301,230
16,183
106,275
20,55
214,418
161,426
270,99
21,184
282,200
114,405
55,364
39,432
206,319
229,31
257,249
39,118
169,461
34,114
153,181
355,171
410,84
63,263
199,306
194,7
2,451
414,346
403,312
258,241
71,445
102,97
282,483
161,333
109,342
13,154
217,226
139,486
221,262
112,371
468,205
184,286
189,113
133,120
326,44
175,24
410,398
146,319
181,168
289,176
197,226
113,358
386,371
142,417
468,269
470,449
319,364
15,93
382,448
450,28
273,425
100,336
314,94
18,150
77,53
81,103
410,435
336,287
249,400
243,481
353,283
76,256
38,194
131,49
495,257
236,98
389,371
437,383
398,442
149,469
491,363
250,320
487,435
136,267
408,352
257,281
394,472
270,441
454,331
300,50
69,419
310,343
412,126
15,407
410,193
334,204
66,36
57,355
490,211
456,186
158,472
207,452
495,64
199,344
221,231
195,108
410,92
264,13
156,455
431,2
499,418
39,436
255,82
235,460
413,243
207,129
188,471
405,399
271,65
337,279
407,466
498,273
240,276
313,362
256,313
326,499
178,409
335,152
56,454
239,108
223,83
461,3
325,319
226,373
430,300
90,499
118,77
366,390
230,426
391,441
5,303
106,128
213,401
188,346
325,356
426,143
484,465
44,107
315,455
324,19
18,262
162,379
182,297
402,484
140,111
62,87
113,438
150,255
4,240
193,478
417,159
145,98
307,439
342,310
169,191
459,321
15,165
39,92
404,209
287,57
408,119
11,60
85,373
387,366
160,443
200,181
19,205
412,327
272,140
112,498
307,305
131,110
141,8
112,294
19,30
2,188
132,80
151,357
428,157
172,320
206,70
75,408
194,436
474,29
394,169
338,115
243,312
115,229
400,450
410,391
42,21
37,312
280,487
277,332
280,389
140,166
134,125
75,300
170,331
200,174
310,305
176,55
256,255
266,424
304,75
297,438
103,393
67,233
6,2
154,167
85,124
265,224
382,305
262,288
330,129
377,359
12,59
322,434
434,156
350,348
93,18
