Source,Target
243,288
336,415
259,80
127,27
349,260
207,251
411,491
485,410
447,37
179,54
19,255
239,331
33,460
436,396
169,23
139,400
208,249
218,483
319,125
101,294
466,138
47,144
165,72
229,318
495,278
193,29
249,479
175,308
263,49
6,81
14,382
242,115
288,420
427,137
36,445
98,492
398,297
434,361
491,143
414,337
188,388
498,3
51,164
257,174
454,248
490,112
262,260
499,204
466,258
333,51
207,216
49,381
58,164
348,142
141,234
289,319
312,142
402,83
374,160
112,217
240,199
99,244
286,278
29,62
380,327
163,374
170,314
390,139
344,429
19,395
10,206
457,463
180,158
397,90
359,113
279,65
15,187
208,352
327,135
275,445
447,120
428,284
249,79
235,353
293,326
29,176
347,64
398,498
153,225
236,321
159,389
28,30
426,478
206,39
37,367
422,24
353,171
282,468
97,379
245,387
330,125
45,264
40,191
386,201
346,312
67,2
107,366
444,308
138,145
398,15
419,446
63,223
347,122
104,184
21,45
330,49
403,262
295,163
319,457
497,282
247,258
212,116
20,296
232,112
413,140
477,442
4,266
136,6
401,316
444,247
100,453
407,111
52,219
179,363
472,385
163,66
191,258
135,122
332,233
140,236
278,108
30,176
374,38
415,457
85,233
393,451
143,315
329,128
98,83
55,377
485,418
8,392
303,12
343,294
331,328
66,120
203,494
393,359
467,48
141,497
236,395
44,458
175,113
385,221
405,147
443,223
86,205
209,326
310,294
89,360
147,47
464,356
326,83
329,418
131,446
340,60
178,220
275,266
209,159
50,113
292,84
26,477
409,476
499,79
353,102
363,229
24,353
316,227
256,418
219,171
164,55
177,278
417,176
11,2
460,446
387,76
187,366
212,433
441,460
62,190
131,276
355,283
395,424
457,78
356,155
153,293
252,119
313,329
81,192
308,59
121,333
155,142
239,30
23,202
387,189
381,96
54,38
182,146
324,163
232,115
341,189
488,399
228,136
437,86
376,178
36,500
13,485
105,87
60,326
324,333
108,432
36,212
54,402
8,425
496,494
285,190
290,270
56,64
36,89
300,114
461,192
332,403
408,426
1,347
35,159
343,247
407,440
465,492
252,453
87,219
310,479
391,292
333,81
123,210
2,475
441,268
19,11
333,492
432,479
402,485
249,141
479,7
155,280
87,47
215,81
116,270
287,230
46,426
227,243
165,142
338,211
489,97
156,228
36,355
417,178
60,469
444,241
188,67
61,483
482,319
98,17
348,104
195,417
418,5
111,201
45,299
165,321
66,234
379,236
108,351
264,29
320,67
398,459
466,363
324,178
310,164
77,29
481,487
125,370
399,1
478,401
52,45
23,188
312,122
346,226
107,296
487,67
130,15
194,367
260,377
148,436
359,283
98,384
142,181
291,384
454,197
462,483
464,10
255,133
101,445
46,188
142,494
356,306
155,403
327,41
20,454
102,290
331,43
218,68
186,469
345,240
249,493
367,206
457,223
196,248
209,363
433,360
40,90
226,242
418,192
366,210
187,242
35,92
92,264
441,1
374,154
84,399
107,381
192,379
266,41
