Source,Target
20,16
20,1
20,38
20,40
20,43
20,48
20,72
20,87
16,12
16,26
16,27
16,33
16,52
16,59
16,64
16,82
16,92
16,99
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,13
1,14
1,15
1,19
1,22
1,23
1,28
1,30
1,31
1,34
1,35
1,36
1,41
1,44
1,45
1,46
1,49
1,50
1,53
1,55
1,57
1,58
1,71
1,74
1,75
1,78
1,81
1,90
12,95
27,76
27,97
33,73
92,100
2,42
2,61
2,63
2,69
3,10
3,17
3,18
3,47
3,54
3,60
3,67
3,68
3,83
3,85
3,88
3,89
3,96
3,98
4,11
4,25
4,39
4,66
5,21
5,79
8,29
8,37
8,62
8,77
9,56
19,32
23,91
44,80
45,84
45,94
17,24
17,93
11,51
11,65
11,70
25,86
