Source,Target
10,59
10,66
59,40
59,14
59,86
59,38
66,83
66,11
66,26
86,89
86,43
86,65
38,57
38,50
38,91
38,41
38,81
83,71
83,52
11,70
11,29
26,54
26,72
26,63
89,30
89,95
89,28
43,15
65,88
65,56
65,8
57,73
57,22
57,6
57,1
91,82
41,79
41,77
41,49
52,94
52,69
29,17
54,46
54,98
54,16
72,45
72,100
63,44
63,55
30,61
30,90
95,84
95,18
28,9
28,64
15,34
88,74
88,87
56,53
56,24
56,99
73,92
22,93
6,20
1,39
1,27
1,80
82,31
79,33
49,37
94,48
94,60
94,78
69,75
46,21
45,2
44,35
18,67
34,42
34,85
24,4
39,25
31,62
37,3
37,23
37,68
48,19
60,76
35,13
85,36
25,47
3,7
3,97
13,96
