Source,Target
5,4
5,6
5,15
4,3
4,14
6,7
6,16
15,25
3,2
3,13
14,24
7,8
7,17
16,26
25,35
2,1
2,12
13,23
24,34
8,9
8,18
17,27
26,36
35,45
1,11
12,22
23,33
34,44
9,10
9,19
18,28
27,37
36,46
45,55
11,21
22,32
33,43
44,54
10,20
19,29
28,38
37,47
46,56
55,65
21,31
32,42
43,53
54,64
20,30
29,39
38,48
47,57
56,66
65,75
31,41
42,52
53,63
64,74
30,40
39,49
48,58
57,67
66,76
75,85
41,51
52,62
63,73
74,84
40,50
49,59
58,68
67,77
76,86
85,95
51,61
62,72
73,83
84,94
50,60
59,69
68,78
77,87
86,96
61,71
72,82
83,93
60,70
69,79
78,88
87,97
71,81
82,92
70,80
79,89
88,98
81,91
80,90
89,99
90,100
