Source,Target
10,93
93,79
79,88
79,93
93,47
47,69
69,56
56,12
56,29
29,67
67,98
29,27
27,58
58,72
72,10
10,32
10,26
26,56
72,23
23,69
27,53
29,94
47,84
84,19
19,11
11,61
61,33
61,80
80,34
34,84
61,34
61,60
11,64
64,30
11,50
50,58
19,68
68,58
68,12
68,7
19,40
47,37
37,96
96,86
86,56
86,78
78,30
78,8
78,36
36,25
86,61
86,71
71,72
71,53
71,80
96,24
24,10
24,98
24,52
52,82
82,1
1,90
90,98
90,70
70,22
22,39
39,56
39,90
90,35
1,24
24,35
52,3
3,40
3,100
100,5
5,25
100,63
3,50
3,70
52,95
95,19
95,41
79,15
15,21
21,2
2,73
73,47
73,51
2,24
15,5
15,72
