Source,Target
100,83
100,75
83,2
83,146
75,3
75,263
75,276
2,1
2,5
2,7
2,8
2,10
2,11
2,12
2,13
2,16
2,28
2,31
2,41
2,57
2,71
2,81
2,82
2,90
2,93
2,115
2,131
2,134
2,161
2,169
2,195
2,203
2,345
2,352
2,364
2,380
2,387
2,395
2,455
2,461
2,486
3,4
3,21
3,27
3,32
3,36
3,38
3,50
3,54
3,56
3,62
3,64
3,96
3,112
3,119
3,136
3,147
3,160
3,163
3,172
3,175
3,182
3,194
3,246
3,260
3,262
3,266
3,290
3,316
3,369
3,386
3,388
3,431
3,443
3,445
3,481
3,482
3,491
3,493
263,432
1,6
1,14
1,18
1,47
1,70
1,88
1,101
1,140
1,144
1,183
1,192
1,205
1,207
1,220
1,228
1,229
1,237
1,242
1,244
1,248
1,291
1,314
1,317
1,321
1,341
1,360
1,413
1,437
1,442
1,468
1,475
5,9
5,17
5,19
5,22
5,26
5,29
5,33
5,34
5,42
5,43
5,44
5,46
5,49
5,53
5,65
5,69
5,73
5,74
5,76
5,79
5,84
5,87
5,91
5,94
5,109
5,111
5,122
5,123
5,137
5,150
5,153
5,156
5,166
5,168
5,197
5,209
5,223
5,252
5,256
5,309
5,324
5,335
5,346
5,353
5,355
5,357
5,366
5,381
5,398
5,436
5,440
5,449
5,465
7,30
7,78
7,114
7,138
7,201
7,255
7,261
7,275
7,404
7,422
8,39
8,48
8,60
8,80
8,95
8,107
8,113
8,121
8,283
8,300
8,391
8,405
8,414
8,433
8,441
8,453
8,467
8,477
10,89
10,198
10,247
10,249
10,412
10,476
11,15
11,20
11,23
11,24
11,25
11,45
11,72
11,92
11,102
11,104
11,174
11,208
11,211
11,231
11,268
11,270
11,282
11,295
11,303
11,326
11,329
11,333
11,349
11,350
11,400
11,406
11,473
11,496
12,59
12,221
12,332
12,361
12,382
12,428
12,430
12,447
13,67
13,120
13,460
13,492
13,499
13,500
16,35
16,68
16,108
16,125
16,216
16,277
16,320
16,411
28,421
31,393
41,296
41,378
57,133
57,288
57,470
90,218
90,284
93,396
161,423
169,233
195,409
352,390
4,55
4,58
4,63
4,99
4,116
4,176
4,273
4,306
4,339
4,344
4,371
4,474
21,238
27,37
27,105
27,152
27,162
27,178
27,243
27,323
27,417
32,336
36,118
36,124
38,179
38,253
38,267
38,297
38,308
38,402
38,495
50,117
50,141
50,230
50,236
50,337
50,389
50,456
119,193
160,190
160,215
160,257
163,285
163,351
262,397
6,106
6,171
6,204
6,235
6,239
6,365
6,370
14,165
14,222
14,392
14,478
47,259
47,271
140,302
183,301
183,325
205,265
205,299
9,142
9,173
9,446
17,40
17,52
17,154
17,348
17,410
17,458
17,489
19,51
19,61
19,77
19,97
19,184
19,251
19,278
19,368
19,425
19,435
19,439
22,298
22,424
26,158
26,167
26,213
26,418
29,110
29,149
29,212
29,226
29,240
29,372
29,374
29,416
29,466
29,490
33,319
33,340
33,415
33,429
33,485
34,98
42,85
42,135
42,151
42,384
42,479
43,129
43,159
43,180
43,330
43,399
43,463
44,245
46,128
46,132
46,157
46,185
46,403
46,407
46,459
46,471
79,155
84,281
84,394
84,408
111,232
122,254
150,269
197,258
197,322
30,127
30,210
30,227
30,286
30,318
30,331
30,358
30,362
30,464
138,484
261,376
39,130
48,305
48,343
80,287
113,444
113,454
121,164
121,224
121,457
15,206
15,280
15,334
23,66
23,86
23,126
23,186
23,196
23,373
23,401
24,103
24,202
24,214
24,250
25,338
72,359
72,383
92,191
102,434
329,426
350,451
67,143
67,189
67,304
67,363
67,438
35,145
35,148
35,452
99,289
238,483
37,139
37,170
37,177
37,234
37,264
37,279
37,307
37,367
162,377
124,310
124,311
117,294
165,497
51,199
51,225
51,292
51,354
51,420
51,450
51,472
77,315
97,217
97,312
278,448
435,488
149,274
212,342
135,181
135,188
135,487
129,200
129,313
159,187
159,272
159,356
128,293
155,219
127,462
227,427
358,379
206,327
206,347
280,385
126,241
126,375
103,469
145,480
145,494
199,498
181,328
181,419
