Source,Target
100,221
221,51
221,251
221,373
221,37
221,486
51,93
251,307
373,184
373,56
373,477
373,343
486,187
486,85
486,113
93,305
93,382
307,40
307,316
184,254
184,385
184,235
184,147
56,362
56,150
56,452
56,98
56,315
477,392
477,252
343,402
187,493
187,332
85,441
85,204
85,55
113,390
113,317
305,219
305,182
305,391
382,183
382,49
382,39
382,460
40,337
40,61
40,257
316,334
316,77
316,448
316,262
254,238
254,243
385,109
385,293
385,272
385,132
385,302
235,117
147,185
147,462
147,331
362,211
362,179
362,414
452,224
98,23
315,72
315,159
392,38
252,431
252,125
402,283
402,84
402,291
402,285
493,89
332,181
441,380
441,205
204,1
55,43
390,339
390,500
390,189
317,234
317,295
182,444
391,312
391,13
183,151
183,324
183,197
49,421
39,369
460,281
460,433
460,465
61,306
257,372
257,73
257,250
257,58
77,148
77,499
77,138
77,311
448,110
243,399
293,78
293,388
293,361
293,52
132,12
302,498
302,407
302,423
117,201
117,120
117,203
117,15
185,406
462,474
462,178
462,233
462,162
331,450
211,487
179,214
414,144
224,284
23,174
72,94
72,175
72,410
72,245
159,22
159,419
125,108
283,466
283,438
291,130
181,488
181,289
380,479
380,340
205,434
1,389
1,359
1,131
43,31
339,114
500,490
189,395
234,10
295,145
295,104
444,258
444,463
312,381
13,290
13,358
324,44
197,242
197,483
369,403
281,404
281,90
281,30
433,24
433,468
465,322
465,273
465,345
306,443
372,256
73,153
73,65
73,91
250,209
58,471
148,475
148,469
499,142
138,67
311,164
399,57
388,320
361,304
52,491
52,165
52,196
407,398
407,445
201,101
201,387
120,127
120,430
120,367
203,265
203,25
203,396
15,248
15,188
406,393
406,240
178,20
178,275
178,415
450,336
450,231
450,397
487,133
214,384
214,134
144,365
284,276
284,139
284,217
284,11
174,349
174,335
94,292
410,279
245,63
245,451
22,119
22,260
466,342
466,195
438,232
438,482
130,413
289,122
289,176
289,157
340,246
340,158
389,294
359,330
131,263
114,170
395,313
10,226
145,280
258,356
463,310
463,239
463,71
463,287
290,137
290,375
358,408
358,207
358,8
44,163
483,417
483,467
404,436
404,326
30,364
24,439
468,16
468,360
468,107
256,200
256,135
256,46
153,190
65,432
209,223
209,323
471,105
471,227
475,277
469,456
142,329
164,7
164,19
164,297
304,472
398,453
445,161
367,79
367,476
367,473
265,45
396,494
396,459
248,267
248,156
188,42
393,96
393,496
240,106
240,237
231,348
397,48
133,212
384,282
384,446
134,429
276,169
217,81
217,26
11,351
335,155
292,123
292,53
279,458
63,371
119,64
260,481
260,470
342,193
342,480
342,347
232,405
232,87
482,484
482,198
413,274
176,136
157,75
158,301
263,428
170,143
313,386
313,102
356,370
239,268
239,401
239,17
137,440
163,409
467,278
439,121
360,366
107,154
135,208
432,352
432,270
432,425
105,325
277,222
456,168
7,411
19,95
472,215
79,457
473,489
473,363
45,400
96,286
96,80
496,327
106,112
106,266
348,4
348,321
282,83
446,355
446,69
26,253
53,220
53,216
458,60
481,350
347,225
405,378
198,6
274,241
136,146
136,247
301,14
301,319
301,269
428,66
268,354
278,173
121,180
366,128
208,166
208,485
208,308
425,422
95,210
457,92
327,379
69,76
69,368
69,18
220,461
350,376
146,455
247,35
14,328
173,449
128,9
308,124
422,424
379,191
376,230
455,115
35,74
328,318
449,62
191,228
230,103
230,299
318,28
318,300
62,50
228,140
299,420
140,447
