Source,Target
250,9
250,11
250,36
250,39
250,41
250,47
250,48
250,55
250,99
250,109
250,126
250,127
250,139
250,154
250,192
250,217
250,227
250,250
250,257
250,259
250,288
250,324
250,332
250,345
250,350
250,353
250,354
250,357
250,359
250,405
250,406
250,412
250,425
250,435
250,436
250,456
250,468
250,480
9,20
9,51
9,70
9,108
9,125
9,131
9,200
9,230
9,336
9,342
9,348
9,374
9,443
11,27
11,29
11,38
11,93
11,97
11,187
11,188
11,197
11,203
11,216
11,218
11,219
11,296
11,309
11,361
11,409
11,442
11,446
11,478
39,18
39,21
39,49
39,59
39,60
39,92
39,117
39,166
39,186
39,199
39,266
39,364
39,366
39,462
39,489
217,16
217,143
217,399
20,44
20,45
20,68
20,112
20,209
20,214
20,249
20,299
20,307
20,317
20,362
20,375
20,379
20,421
20,455
70,82
70,88
70,178
70,261
70,394
70,413
27,52
27,62
27,63
27,73
27,110
27,134
27,161
27,202
27,210
27,226
27,233
27,235
27,287
27,367
27,369
27,378
27,400
27,440
27,458
27,469
29,1
29,3
29,5
29,137
29,321
29,391
29,396
29,429
93,151
93,171
93,319
93,347
93,424
93,497
16,124
16,207
16,234
16,344
44,160
44,173
44,194
44,205
44,327
44,382
44,385
44,392
44,430
68,75
68,175
68,389
68,401
68,495
82,302
82,306
52,35
52,74
52,101
52,212
52,244
52,253
52,254
52,280
52,294
52,298
52,308
52,365
52,416
52,432
52,472
52,481
52,487
52,488
63,17
63,42
63,53
63,80
63,146
63,149
63,177
63,196
63,247
63,252
63,271
63,384
63,486
151,165
151,225
151,246
151,272
151,300
151,380
151,426
151,427
124,8
124,50
124,111
124,275
124,284
124,315
124,398
124,403
124,415
124,441
160,23
160,77
160,96
160,102
160,106
160,113
160,148
160,184
160,265
160,303
160,310
160,320
160,363
160,376
160,388
160,395
75,15
75,37
75,105
75,133
75,238
302,123
302,147
302,204
302,313
302,318
302,397
302,457
302,491
35,19
35,181
35,198
35,213
35,251
35,274
35,370
35,373
35,420
35,471
35,482
74,220
74,228
74,333
74,377
74,381
74,433
17,107
17,122
17,132
17,292
17,407
17,422
17,445
42,236
42,279
42,460
42,474
42,493
165,120
165,245
165,267
165,386
165,390
165,450
8,28
8,340
8,451
8,483
23,12
23,34
23,65
23,71
23,94
23,153
23,163
23,179
23,193
23,229
23,237
23,243
23,263
23,285
23,339
23,349
23,465
96,25
96,26
96,87
96,98
96,135
96,358
96,466
15,4
15,54
15,116
15,157
15,276
15,304
15,419
15,490
123,2
123,67
123,79
123,141
123,289
123,291
123,343
123,408
123,475
19,24
19,32
19,66
19,78
19,84
19,86
19,100
19,104
19,121
19,140
19,145
19,168
19,206
19,240
19,255
19,262
19,277
19,278
19,281
19,282
19,293
19,338
19,341
19,346
19,411
19,464
19,485
19,492
19,498
181,6
181,164
181,195
181,297
181,328
181,467
198,128
198,223
198,352
198,431
198,448
107,14
107,61
107,90
107,144
107,167
107,190
107,191
107,264
107,270
107,301
236,57
236,69
236,81
236,129
236,136
236,159
236,185
236,256
236,325
236,360
236,393
236,423
120,31
120,40
120,83
120,290
120,326
120,356
28,7
28,89
28,118
28,170
28,176
28,268
28,470
24,180
24,231
24,232
24,242
24,260
24,355
24,402
24,428
24,449
66,13
66,43
66,114
66,115
66,119
66,174
66,189
66,258
66,329
66,330
66,335
6,30
6,211
6,241
6,248
6,311
6,383
6,439
6,496
128,142
128,155
128,283
128,305
128,337
128,387
128,447
14,239
14,273
14,323
14,372
14,437
14,494
57,72
57,183
57,414
57,438
31,33
31,76
31,91
31,224
31,434
31,476
180,22
180,95
180,158
180,169
180,182
180,221
180,314
180,371
180,404
180,452
180,461
13,85
13,103
13,130
13,152
13,172
13,312
13,316
13,477
13,499
30,58
30,64
30,162
30,208
30,222
30,322
30,368
30,410
30,454
30,484
142,56
142,138
142,215
142,334
142,417
142,453
142,463
142,473
239,150
239,269
239,286
239,351
239,444
239,459
239,479
72,10
72,46
72,156
72,201
72,295
72,331
72,418
