Source,Target
250,19
250,38
250,40
250,54
250,58
250,63
250,71
250,75
250,100
250,104
250,119
250,150
250,154
250,174
250,176
250,197
250,207
250,219
250,220
250,230
250,235
250,242
250,250
250,267
267,7
267,68
267,98
267,169
267,200
267,222
267,273
273,278
278,295
295,23
295,64
295,65
295,102
295,110
295,146
295,185
295,189
295,190
295,191
295,263
295,276
295,290
295,315
315,13
315,47
315,66
315,86
315,97
315,114
315,118
315,132
315,148
315,149
315,194
315,266
315,318
318,9
318,61
318,72
318,99
318,128
318,153
318,163
318,196
318,218
318,289
318,329
329,333
333,53
333,80
333,105
333,136
333,137
333,206
333,270
333,297
333,299
333,306
333,320
333,321
333,341
341,32
341,45
341,56
341,155
341,175
341,293
341,316
341,358
358,378
378,94
378,183
378,233
378,260
378,354
378,386
386,103
386,115
386,117
386,143
386,152
386,214
386,216
386,391
391,348
391,350
391,367
391,403
403,402
403,422
422,439
439,440
440,359
440,380
440,405
440,413
440,436
440,447
447,296
447,387
447,424
447,476
476,481
481,389
481,406
481,452
481,492
476,482
482,494
494,495
495,450
495,457
495,464
495,489
494,498
498,304
498,324
498,338
498,357
498,370
498,371
498,401
498,407
498,467
498,496
439,451
451,463
422,478
478,8
478,21
478,43
478,85
478,112
478,122
478,127
478,138
478,159
478,167
478,178
478,180
478,195
478,203
478,264
478,280
478,286
478,294
478,310
478,311
478,314
478,323
478,369
478,414
478,455
478,462
478,483
483,15
483,42
483,70
483,78
483,113
483,139
483,140
483,161
483,193
483,253
483,261
483,288
483,303
483,399
483,421
483,434
483,438
483,445
483,466
483,486
486,212
486,351
486,411
486,417
267,300
300,50
300,121
300,125
300,165
300,187
300,199
300,243
300,252
300,313
313,20
313,81
313,111
313,160
313,210
313,213
313,236
313,265
313,308
313,319
319,14
319,26
319,35
319,41
319,57
319,60
319,69
319,93
319,96
319,145
319,162
319,179
319,181
319,186
319,205
319,209
319,215
319,221
319,245
319,251
319,272
319,281
319,284
319,292
319,328
328,5
328,52
328,106
328,126
328,130
328,142
328,156
328,226
328,282
328,283
328,309
328,335
335,28
335,90
335,172
335,337
337,339
339,326
339,361
361,362
362,364
364,48
364,84
364,89
364,201
364,224
364,255
364,368
368,372
372,397
397,352
397,375
397,383
397,393
397,398
398,343
398,363
398,374
398,381
398,384
398,412
412,4
412,24
412,73
412,91
412,158
412,182
412,184
412,188
412,198
412,208
412,262
412,269
412,325
412,340
412,426
426,74
426,87
426,129
426,144
426,257
426,275
426,332
426,388
426,404
426,419
426,428
428,430
430,444
444,18
444,31
444,33
444,37
444,62
444,120
444,131
444,134
444,141
444,228
444,238
444,279
444,287
444,330
444,342
444,344
444,349
444,360
444,379
444,409
444,425
444,431
444,446
446,3
446,16
446,22
446,92
446,151
446,164
446,177
446,192
446,229
446,232
446,246
446,298
446,331
446,355
446,356
446,373
446,395
446,400
446,432
446,458
458,25
458,30
458,36
458,46
458,76
458,77
458,157
458,204
458,211
458,217
458,227
458,231
458,234
458,244
458,302
458,305
458,336
458,365
458,366
458,376
458,382
458,392
458,437
458,453
458,472
472,474
474,473
474,499
499,493
446,461
461,11
461,34
461,51
461,108
461,123
461,202
461,239
461,247
461,254
461,259
461,327
461,396
461,427
461,468
468,12
468,82
468,107
468,109
468,133
468,241
468,256
468,317
468,334
468,346
468,353
468,377
468,441
468,443
468,487
461,479
430,448
448,470
470,410
470,433
470,442
470,460
470,477
477,471
477,480
480,408
480,469
480,497
497,456
497,488
477,490
470,485
430,454
